Designator,Mid X,Mid Y,Layer,Rotation
C1,8.7,7.6,T,180
C2,20.4,15.7,T,270
C3,23.4,2.6,T,90
C4,21.9,16.6,T,90
C5,23.7,16.6,T,90
C6,21.9,2.2,T,270
C7,17.7,15.8,T,270
C8,19.1,15.8,T,270
C9,27.6,11.4,T,180
C10,6.6,5.4,T,0
C11,25.3,18.9,T,270
C12,18.9,18.9,T,270
C13,20.3,18.9,T,270
C15,19.5,2.2,T,270
C16,28.4,16.3415,B,90
C17,31,3.9,T,90
D2,1.2,2.4,T,270
D3,29,2,T,270
D4,27.6,1.7,T,90
D5,26.2,2,T,270
D6,24.8,1.7,T,90
J1,15.6,19.3,T,180
L1,29.5,16.6,T,90
MH3,13.7,11.2,T,0
Q1,6.6,2.4,T,90
Q9,14,2.4,T,90
R1,14.6,5.6,T,180
R3,7.2,15.7,T,270
R4,25.4,13.9,T,90
R5,1.2,5.4,T,270
R6,9.8,3.3,T,270
R7,29.1,4.8,T,90
R8,27.9,4.8,T,270
R9,26.7,4.8,T,270
R11,32.2,3.9,T,90
R12,31.6,7.6,T,270
SW1,5,19.3,T,0
U1,22.6,9.1872,T,0
USB1,7,6.5,B,0
USB3,24.1,9.9,B,90
