Designator,Mid X,Mid Y,Layer,Rotation
C1,48.1,34.9,T,0
C2,58,32.2,T,180
C3,50.5,30.7,T,90
C4,55.3,30.7,T,90
C5,29.3,30.6,T,270
C6,31.4,30.6,T,270
C7,33.5,30.6,T,270
C8,89.75,29.2,T,180
C9,33.8,27.1,T,90
C10,95.7,26.4,T,180
C11,84.1,26.1,T,0
C12,15.1,25.9,T,270
C13,16.7,25.9,T,270
C14,22.5,25.9,T,270
C15,33.8,25,T,270
C16,35.1,25,T,270
C17,95.2,25,T,180
C18,84.5,24.7,T,0
C19,95.7,23.6,T,180
C20,84.5,23.1,T,0
C21,37.1,22.9,T,180
C22,84.1,21.6,T,0
C23,27.8,20.7,T,270
C24,48,20.7,T,0
C25,25.1,20.2,T,270
C26,58,18,T,180
C27,88.2,17.6,T,0
C28,90.6,16.7883,T,270
C29,40.7,16.6,T,90
C30,42.7,16.6,T,90
C31,44.7,16.6,T,90
C32,50.4,16.5,T,90
C33,55.2,16.5,T,90
C34,31,16,T,90
D1,60.6,30.9,T,0
D2,30.3,25.9,T,270
D3,36.8,17.6,T,0
D4,60.9,16.8,T,180
D5,14.8,11.3,T,270
F1,17.9,10.7,T,90
J1,90.6,45.3,T,270
J2,90.6,40.5,T,0
J3,3.6,35.4,T,90
J4,92.5,29,T,0
J5,108.4,25,T,270
J6,4,12.1,T,0
J7,90.6,7.5,T,0
J8,59.1,5.3,T,180
J9,69,5.3,T,180
J10,90.6,2.8,T,90
L1,26.4,25.9,T,0
L2,36.8,14.2,T,180
MH1,3.6,44.4,T,0
MH2,108.4,44.4,T,0
MH3,3.6,3.6,T,0
MH4,108.4,3.6,T,0
Q1,19.6,25.9,T,180
R1,58,33.4,T,180
R2,60,33.4,T,180
R3,58,30.9,T,0
R4,10.9,28.3,T,180
R5,89.35,27.5,T,90
R6,32.5,27.1,T,90
R7,10.9,25.2,T,180
R8,32.5,25,T,90
R9,36.7,21.5,T,0
R10,38.8,21.5,T,180
R11,26.6,20.7,T,90
R12,58,19.2,T,180
R13,60,19.2,T,180
R14,92.5,17.6,T,180
R15,58,16.8,T,0
TP1,35.8,29.6,T,0
TP2,57.6,29.2,T,0
TP3,94.9,22.1,T,0
TP4,94.9,20.6,T,0
TP5,84.9,20.1,T,0
TP6,87.4,19.1,T,0
TP7,89,19.1,T,0
TP8,46.8,17.8,T,0
TP9,57.5,15.2,T,0
U1,52.9,34.5,T,90
U2,89.6,23.1,T,0
U3,31.7,20.4,T,270
U4,52.8,20.3,T,90
USB1,7.8,27,T,270
