Designator,Mid X,Mid Y,Layer,Rotation
C1,23.6,30.2,T,90
C2,19.6,21.9,T,90
C3,16.4,21.9,T,90
C4,26.6,37.3,T,90
C5,21.5,37.3,T,90
C6,16.4,37.3,T,90
C7,11.3,37.3,T,90
C8,6.2,37.3,T,90
C9,36.8,37.3,T,90
C10,31.8,37.3,T,90
D1,28.9,30.2,T,0
J1,21.3,60.5,T,180
Q1,24.3,20.7,T,180
Q2,25.1,45.1,T,0
Q3,20,45.1,T,0
Q4,14.9,45.1,T,0
Q5,9.8,45.1,T,0
Q6,4.7,45.1,T,0
Q7,22.6,6.2,T,270
Q8,27.9,6.2,T,90
Q9,35.3,45.1,T,0
Q10,30.2,45.1,T,0
Q11,22.6,10.4,T,270
Q12,27.9,10.4,T,90
R1,25.1,49.5,T,90
R2,20,49.5,T,90
R3,14.9,49.5,T,90
R4,9.8,49.5,T,90
R5,4.7,49.5,T,90
R6,36.8,28.3,T,270
R8,27.6,21.9,T,90
R9,30.4,21.9,T,270
R10,10.8,10.4,T,180
R11,25.3,30.2,T,270
R12,21,21.9,T,270
R13,17.8,21.9,T,90
R14,26.6,40.4,T,90
R15,21.5,40.4,T,90
R16,16.4,40.4,T,90
R17,11.3,40.4,T,90
R18,6.2,40.4,T,90
R19,18.5,3.2,T,180
R20,23.6,40.1,T,90
R21,18.5,40.1,T,90
R22,13.4,40.1,T,90
R23,8.3,40.1,T,90
R24,3.2,40.1,T,90
R25,18.5,4.6,T,0
R26,32.2,7.6,T,0
R27,36.8,40.4,T,90
R28,33.8,40.1,T,90
R29,35.3,49.5,T,90
R30,31.8,40.4,T,90
R31,28.8,40.1,T,90
R32,30.2,49.5,T,90
R33,10.8,6.2,T,180
R34,18.5,9,T,0
R35,32.2,11.8,T,0
U1,19.7,28.3,T,180
