Designator,Mid X,Mid Y,Layer,Rotation
C1,32.4,41.8,T,270
C2,34,41.8,T,270
C3,12.3,34,T,90
C4,13.8,34,T,90
C5,15.2,33.6,T,90
C6,15.2,29.8,T,270
D1,29.8,41.8,T,270
D2,18.5,28.3,T,180
D3,21.6,28.3,T,0
D4,16.3,12.2,T,180
F1,16.3,15.3,T,0
J1,65.7,24.3,T,0
J2,78.1,24.2,T,0
J3,4,15,T,0
J4,65.7,24.3,B,180
J5,78.1,24.2,B,0
L1,21.4,41.8,T,0
MH1,3.6,44.4,T,0
MH2,108.4,44.4,T,0
MH3,3.6,3.6,T,0
MH4,108.4,3.6,T,0
R1,19,26.9,T,0
R2,21.2,26.9,T,180
R3,3.9,25.1,T,270
R4,5.1,25.1,T,270
U1,19.8,32.5,T,90
USB1,7.8,31.6,T,270
