Designator,Mid X,Mid Y,Layer,Rotation
C1,104.7,52.4,T,90
C2,110,46.1,T,270
C3,110,39.1,T,270
C4,94.6,34.9,T,180
C5,101.6,34.9,T,180
C6,111.7,26.9,T,180
C7,84.4,26.8,T,180
C8,102,26.5,T,180
C9,106.7,25.7,T,180
C10,111.7,25.7,T,180
C11,84.4,25.2,T,180
C12,84.4,23.6,T,180
C13,91.2,17.7,T,90
C14,93.1,17.7,T,90
C15,95.1,17.7,T,90
C16,89.5,16.9,T,270
C17,98.1,16.8,T,270
C18,94,10.3,T,90
C19,88.1,9.4,T,270
C20,94,7.2,T,90
C21,95.5,7.2,T,90
C22,103,5.1,T,270
D1,112.4,50.4,T,0
D2,99.7,48.5,T,270
D3,112.4,22.1,T,0
D4,112.4,20.1,T,180
D5,112.4,18.6,T,0
D6,112.4,17.1,T,180
D7,112.4,15.6,T,0
D8,95.6,2.2,T,0
F1,100.1,53.3,T,180
J1,101.6,57.5,T,180
L1,91.8,45.2,T,90
L2,93.2,25.2,T,180
Q1,100.8,42.3,T,90
Q2,89,34.9,T,270
Q3,89.8,31.8,T,90
Q4,100.1,5.1,T,0
R1,108.1,63.3,T,180
R2,108.1,62.1,T,180
R3,107.6,50.4,T,0
R4,109.6,50.4,T,0
R5,110,33.5,T,0
R6,87.6,31.8,T,90
R7,111.7,30.5,T,180
R8,111.7,29.3,T,180
R9,111.7,28.1,T,180
R10,102,28.1,T,0
R11,108.9,25.7,T,180
R12,96.7,18.8,T,90
R13,96.7,16.8,T,90
R14,101.9,16.8,T,90
R15,105.2,16.9,T,0
R16,105.2,15.7,T,0
R17,105.2,14.5,T,0
R18,91.4,13.5,T,180
R19,90,7.6,T,90
R20,91.9,6.2,T,270
R21,103,1.9,T,270
SW1,89,61.9,T,0
SW2,87,1.9,T,180
TP1,2.1,46,T,90
TP2,83.9,46,T,270
TP3,2.1,19,T,270
TP4,83.9,19,T,90
U1,106.7,28.1,T,90
U2,100.2,11.3,T,90
USB1,107.7,56.2,T,90
USB2,107.7,8.8,T,90
