Designator,Mid X,Mid Y,Layer,Rotation
C1,35,45.1,T,270
C2,77.5,45.1,T,270
C3,37.8,44.6,T,270
C4,80.3,44.6,T,270
C5,27.2,41.8,T,180
C6,45.6,41.8,T,180
C7,69.7,41.8,T,180
C8,88.1,41.8,T,180
C9,22.4,41,T,270
C10,50.3,41,T,270
C11,64.9,41,T,270
C12,92.8,41,T,270
C13,26.4,36.3,T,180
C14,46.5,36.3,T,0
C15,68.9,36.3,T,180
C16,89,36.3,T,0
C17,26.4,33.2,T,180
C18,46.5,33.2,T,0
C19,68.9,33.2,T,180
C20,89,33.2,T,0
C21,21.2,24.6,T,180
C22,63.7,24.6,T,180
C23,35.3,23.9,T,90
C24,38.6,23.9,T,90
C25,77.8,23.9,T,90
C26,81.1,23.9,T,90
C27,29.4,23.2,T,180
C28,43.4,23.2,T,180
C29,71.9,23.2,T,180
C30,85.9,23.2,T,180
C31,31,20,T,0
C32,43.4,20,T,180
C33,73.5,20,T,0
C34,85.9,20,T,180
C35,31,18.8,T,0
C36,73.5,18.8,T,0
C37,36.6,13.8,T,90
C38,37.8,13.8,T,90
C39,79.1,13.8,T,90
C40,80.3,13.8,T,90
D1,42.3,14.7,T,180
D2,84.8,14.7,T,180
D3,42.3,13.3,T,180
D4,84.8,13.3,T,180
D5,14.4,5.4,T,90
F1,14.4,13.2,T,90
J1,108,33.4,T,180
J2,4,14.6,T,0
L1,36.35,35.7,T,90
L2,78.85,35.7,T,90
MH1,3.6,44.4,T,0
MH2,108.4,44.4,T,0
MH3,3.6,3.6,T,0
MH4,108.4,3.6,T,0
Q1,19.6,33.8,T,90
Q2,53.1,33.8,T,270
Q3,62.1,33.8,T,90
Q4,95.6,33.8,T,270
Q5,32.9,26.9,T,90
Q6,39.8,26.9,T,90
Q7,75.4,26.9,T,90
Q8,82.3,26.9,T,90
R1,19.6,41,T,90
R2,53.1,41,T,90
R3,62.1,41,T,90
R4,95.6,41,T,90
R5,28.5,21.2,T,180
R6,31,21.2,T,180
R7,71,21.2,T,180
R8,73.5,21.2,T,180
R9,28.9,18.8,T,180
R10,71.4,18.8,T,180
R11,31,17.6,T,0
R12,73.5,17.6,T,0
R13,44.8,14.7,T,180
R14,87.3,14.7,T,180
R15,44.8,13.3,T,180
R16,87.3,13.3,T,180
U1,36.25,19.4,T,0
U2,78.75,19.4,T,0
USB1,26.7,13.9,T,270
USB2,69.2,13.9,T,270
USB3,47.15,7.3,T,0
USB4,89.65,7.3,T,0
