Designator,Mid X,Mid Y,Layer,Rotation
C1,40.6,38,T,90
C2,59.2,38,T,90
C3,37.3,25.9,T,270
C4,62.6,25.9,T,90
C5,21.6,24.4,T,270
C6,45,22.8,T,0
C7,47.8,22.8,T,180
C8,35.8,21.6,T,270
C9,37.7,21.6,T,270
C10,39.6,21.6,T,270
C11,53.1,21.6,T,270
C12,55,21.6,T,270
C13,56.9,21.6,T,270
C14,69.9,19.9,T,90
C15,38,18.9,T,0
C16,38,17.3,T,0
C17,18.6,16.5,T,90
C18,26.4,16.5,T,270
C19,61.8,14.8,T,270
C20,53.928,12.5,T,270
C21,43.3,9.1,T,90
D1,43,24.4,T,180
D2,49.8,24.4,T,0
D3,28.8,16.5,T,270
D4,17.2,0.9,T,0
D5,24,0.9,T,0
D6,29,0.9,T,0
D7,32.9,0.9,T,0
D8,36.8,0.9,T,0
D9,40.7,0.9,T,0
H1,6.2,35.7,T,0
H2,14.2,35.7,T,0
H3,24.2,35.7,T,0
H4,80.3,35.7,T,0
H5,6.2,7.7,T,0
H6,80.3,7.7,T,0
J1,6.2,10.2,T,270
J2,80.3,10.2,T,270
L1,49.9,33.0784,T,180
Q1,33.4,36.3,T,180
Q2,66.5,36.3,T,180
Q3,33.4,30.9,T,180
Q4,66.5,30.9,T,180
Q5,76.7,19.3,T,90
Q6,80.3,19.3,T,90
Q7,76.7,15.6,T,90
Q8,80.3,15.6,T,90
Q9,58.5,14.8,T,0
Q10,65.1,14.8,T,0
R1,42.1,38,T,270
R2,57.7,38,T,270
R3,71.1,37.2,T,0
R4,35.7,26.4,T,180
R5,64.2,26.3,T,0
R6,33.4,25.9,T,90
R7,66.5,25.9,T,270
R8,76.6,22.3,T,270
R9,77.8,22.3,T,90
R10,80.2,22.3,T,270
R11,81.4,22.3,T,90
R12,53.928,17.3,T,0
R13,53.928,15.9,T,0
R14,38.028,15.8,T,180
R15,38.028,14.4,T,180
R16,38.028,13,T,180
R17,38.028,11.6,T,180
R18,38.028,8.8,T,180
R19,16.6,7.9,T,270
R20,18.2,7.1,T,270
R21,23,2.9,T,270
R22,28,2.9,T,270
R23,31.9,2.9,T,270
R24,35.8,2.9,T,270
R25,39.7,2.9,T,270
SW1,17.2,4.5,T,0
U1,38.3,32.5,T,0
U2,61.5,32.5,T,0
U3,22.5,16.5,T,0
U4,46.4,16.3,T,90
USB1,65.3,9.7,T,270
USB2,49.3,6.3,T,0
