Designator,Mid X,Mid Y,Layer,Rotation
C1,55.1,18.4,B,180
C2,18.4,5.2,B,180
C3,55.1,29,B,180
C4,55.1,12.4,B,180
C5,31.5,9.3,T,180
C6,31.5,6.8,T,180
C7,62.4,42.7,B,0
C8,46.4,7.5,B,90
C9,45,7.5,B,90
C10,83.5,30.4,B,270
C11,43.9,16.3,B,270
C12,38.15,16.3,B,270
C13,42.5,16.3,B,270
C14,46.3,13.05,B,180
C15,39.6,16.3,B,270
C16,47.8,7.5,B,270
C17,46.3,15.3,B,180
C18,42.2,7.5,B,90
C19,40.1,7.5,B,90
C20,37.3,6.7,B,0
C21,37.3,12.7,B,0
C22,37.3,14.1,B,0
C23,32.9,15.55,B,180
C24,37.3,11.3,B,0
C26,41.4,31,B,90
C27,3,36.7,B,180
C28,3,41.81,B,180
C29,27.6,33.9,B,270
C30,12.7,34.2,B,270
C31,46.7,24.6,B,0
C32,46.7,26,B,0
C33,46.7,27.3988,B,0
C34,42.1,24.6,B,180
C35,42.1,26,B,180
C36,29,33.9,B,270
C37,29,38.3,B,270
C38,34.2,33.9,B,90
C39,30.425,33.9,B,90
C40,35.6,33.9,B,90
C41,18.7,21.6,T,90
C42,20.6,21.6,T,90
C43,16.8,21.6,T,90
C44,27.2,21.6,T,90
C45,28.9,21.6,T,90
C46,30.8,21.6,T,90
C47,32.7,21.6,T,90
C48,48.9,34.79,B,180
C49,48.9,36.2,B,180
C50,55.1,34.79,B,0
C51,55.1,36.2,B,0
C52,24.8,17.6,T,90
C53,37.3,9.5,B,0
C54,63.1,3.2,T,180
C55,63.1,9.6,T,180
C56,63.1,20.9,T,180
D1,75.4,51,T,90
D2,12.3,44.4,B,270
D3,14.7,38.4,B,0
D4,16.5,44.4,B,270
D5,23.9,51,T,90
D6,25.9628,51,T,90
D7,60,51,T,90
D8,62.1,51,T,90
D9,5.4,21.3,B,270
DC1,8,26.6,T,0
GDT1,12,51.6,B,180
GDT2,17.4305,51.6,B,180
J1,9.5,2.8,T,0
J2,74.1,39.6,T,0
J3,14.7,49,T,0
J4,43,44.7,T,0
J5,64.9,51.3,T,0
J6,35.6,27.3,T,180
L1,18.7,9.6,B,0
L2,32.9,11.3,B,0
L3,32.9,17.2,B,180
L4,14.7,34.2,B,90
L5,22.3832,27.3,T,0
Q24,26.3,38.3,B,180
R1,14.3,5.2,B,180
R2,18.4,6.6,B,180
R3,37.4,8.1,B,180
R4,36.7,16.3,B,90
R5,18.4,8,B,0
R6,41.1,16.3,B,270
R7,43.6,7.5,B,270
R8,33.8,8.1,T,90
R9,62.4,32.7,B,0
R10,62.4,34.79,B,0
R11,62.4,37.7,B,0
R12,62.4,39.8,B,0
R13,79,38.2,B,90
R14,62.4,44.1,B,180
R15,79,41.2,B,270
R16,81,30.4,B,90
R17,75.4,51,B,270
R18,46.7,29,B,0
R19,8.5,44.4,B,270
R20,11.5,36.838,T,0
R21,13.7,37.6,T,90
R22,11.5,38.4,T,180
R23,20.3,44.4,B,270
R24,23.9,51,B,270
R25,25.9628,51,B,270
R26,60,51,B,270
R27,62.1,51,B,270
R28,22,17.6,T,270
R29,23.4,17.6,T,270
R30,27.6,17.6,T,270
R31,26.2,17.6,T,90
R207,26.3,41.2,B,0
U1,51.9,18.9662,T,270
U2,41.9,11.8,T,0
U3,51.9,28.4108,T,270
U4,18.7,12.6,T,270
U5,63.1,14.1,T,270
U6,51.9,10.5,T,270
U7,63.1,16.4,T,90
U8,63.1,25.5,T,90
U9,28,8.1,T,270
U10,41.9,28.4108,T,0
U11,5.8,38,T,90
U12,21.0832,37.6,T,90
U13,33.5,36,T,0
U14,44.4,37.9,T,180
U15,24.1,21.6,T,90
U16,51.9,36.7,T,270
USB1,15,12.6,T,180
USB2,69.2,13.45,T,0
USB3,72.5,25.9,T,90
