Designator,Mid X,Mid Y,Layer,Rotation
C1,66.9,50.4,T,270
C2,14.8,43.5,T,90
C3,16.1,43,T,90
C4,30.7,40.7,T,270
C5,62.1,37.8,T,180
C6,53.4,33.3,T,270
C7,16.1,28.1,T,270
C8,14.8,27.7,T,270
C9,49.1,27,T,90
C10,34.2,21.1,T,90
C11,32.7,21.1,T,90
C12,31.2,21.1,T,90
C13,55.1,15.7,T,180
C14,16.2,24.4,T,270
C15,22.2,24.4,T,270
C16,55.1,21.1,T,180
C17,37.6,25.6,T,270
C18,54.7,18,T,90
C19,53.2,18,T,90
C20,50.2,18.4,T,90
C21,51.7,18,T,90
C22,18,16.4,T,270
C23,20.1,16.4,T,270
C24,22.2,16.4,T,270
C25,30.4,16.4,T,270
C26,32.3,16.4,T,270
C27,34.2,16.4,T,270
C29,50.2,15.7,T,270
C30,43.4,15.2,T,270
C31,44.6,15.2,T,270
C32,47.7,15.2,T,270
C33,48.9,15.2,T,270
C34,52.6,15.2,T,270
C35,55.1,24.8,T,180
C36,39,13.4,T,0
C37,26.9,11.3,T,90
C38,39,12,T,0
C39,55.1,12,T,180
C40,39,10.3,T,0
C41,39,9.1,T,0
C42,36.4,6.4,T,180
C43,55.1,5.5,T,180
C44,55.1,8.1,T,180
C45,39,5.6,T,0
C46,64.8,3.3,T,270
C47,71.6,3.3,T,270
C48,36.4,3.2,T,180
C49,39,3.2,T,0
C50,44.8,1.4,T,90
C51,48.4,1.4,T,90
C52,52.5,1.4,T,90
C53,24.7,17.4,T,0
C54,27.9,17.4,T,180
D1,16.3,52,T,270
D2,17.7,52,T,270
D3,61.1,51.9,T,270
D4,62.5,51.9,T,270
D5,2.4,43.9,T,180
D6,82.6,29.4,T,0
D7,82.6,26.5,T,0
D8,82.6,25.1,T,0
D9,82.6,23.7,T,0
D10,82.6,22.3,T,0
D11,20.4,19.9,T,180
DC1,7.7,36.76,T,0
F1,18,45.9,T,90
F2,53.9,39.2,T,90
F3,15,3.6,T,90
J1,45.6,45.1,T,180
J2,20.9,46.7,T,0
J3,50.1,46.7,T,0
J4,74.1,38.5,T,0
J5,21.2,3.6,T,0
J6,48.3,52.2,B,180
J7,30,52.2,B,180
L1,34.2,30.6,T,270
L2,39.2,30.6,T,270
L3,44.4,30.6,T,270
L4,36.7,21.4,T,270
L5,26.3,20.6,T,0
L6,39,15.8,T,270
L7,41.9,15.8,T,270
MH1,3.6,50.4,T,0
MH2,10.6,50.4,T,0
MH3,74.4,50.4,T,0
MH4,81.4,50.4,T,0
MH5,3.6,3.6,T,0
MH6,81.4,3.6,T,0
Q1,48.2,40.7,T,0
R1,15,51.5,T,270
R2,19,51.5,T,270
R3,59.8,51.4,T,270
R4,63.8,51.4,T,270
R5,69.4,50.4,T,90
R6,5,43.9,T,0
R7,26.9,40.7,T,270
R8,50.3,40.7,T,270
R9,32.9,39.2,T,90
R10,35.4,39.2,T,90
R11,38,39.2,T,90
R12,40.5,39.2,T,90
R13,43.1,39.2,T,90
R14,45.6,39.2,T,90
R15,62.1,39,T,0
R16,62.1,35.1,T,180
R17,62.1,33.3,T,180
R18,62.1,32.1,T,180
R19,27.5,31.3,T,180
R20,30.1,31.3,T,0
R21,49.7,31.3,T,180
R22,62.1,30.3,T,180
R23,26.9,29.7,T,270
R24,28.1,29.7,T,90
R25,29.5,29.7,T,90
R26,30.7,29.7,T,270
R27,49.1,29.7,T,270
R28,50.3,29.7,T,90
R29,79.9,29.4,T,0
R30,11.3,28.3,T,0
R31,11.3,29.6,T,0
R32,79.9,28,T,0
R33,82.1,28,T,0
R34,11.3,27,T,180
R35,79.9,26.5,T,180
R36,79.9,25.1,T,180
R37,11.3,24,T,0
R38,21,24.4,T,90
R39,27,24.4,T,90
R40,79.9,23.7,T,180
R41,55.1,22.9,T,180
R42,79.9,22.3,T,180
R43,32.1,24.4,T,90
R44,32.1,26.6,T,90
R45,46.5,15.2,T,270
R46,36.5,12.7,T,0
R47,22.5,13.3,T,90
R48,25.7,11.3,T,270
R49,30.1,13.3,T,270
R50,31.3,13.3,T,90
R51,36,4.8,T,90
R52,39,4.4,T,180
R53,49.6,1.4,T,270
R54,50.8,1.4,T,270
TP1,34.2,19,T,90
TP2,34.2,13.7,T,0
U1,15.3,47.1,T,180
U2,56.8,39.2,T,0
U3,28.8,35.8,T,180
U4,49.7,35.8,T,180
U5,20.6,35.8,T,0
U6,34.2,34.7,T,90
U7,39.2,34.7,T,90
U8,44.4,34.7,T,90
U9,18.6,26.4,T,0
U10,24.6,26.4,T,0
U11,40.8,26,T,0
U12,49.4,22.4,T,0
U13,58.8,12.7,T,0
U14,34.6,25.6,T,0
U15,40.8,21.1,T,0
U16,26.3,14.6,T,90
U17,63.1,13.2,T,180
U18,58.8,4.2,T,0
U19,63.1,8.1,T,180
U20,18.8,10.6,T,180
U21,47.2,8.7,T,0
U22,33.3,4.8,T,270
U23,58.8,20.7,T,0
USB1,7.3,25.74,T,270
USB2,69.2,14.15,T,0
USB3,15,13.4,T,180
