Designator,Mid X,Mid Y,Layer,Rotation
U1,41.6814,21.4905,T,90
J6,44.4,48.3,T,180
J5,6.865,15.31,T,270
X1,51.4,20.4,T,90
U4,56.9,23.8,T,180
U3,69.7,21,T,270
U2,72.8,24.4,T,90
TP6,63.4,17.7,T,0
TP5,41.9967,29.7,T,90
TP4,47.95,29.7,T,90
TP3,70.75,17.7,T,270
TP2,53.9107,29.7,T,90
TP1,59.9,29.7,T,90
R29,57.7,26.6,T,270
R28,56.6,26.6,T,90
R27,58.85,26.6,T,270
R26,35.8,5.15,T,90
R25,54.4,26.6,T,270
R24,55.5,26.6,T,270
R23,34.4,8.3,T,90
R22,30.7,4.7,T,90
R21,40.625,32.5,T,90
R20,40.625,36.5,T,90
R19,40.625,34.5,T,90
R18,41.725,36.5,T,270
R17,46.65,32.5,T,90
R16,46.65,36.5,T,90
R15,76.7,24.1,T,270
R14,46.65,34.5,T,90
R13,47.75,36.5,T,270
R12,81.5212,24.0832,T,270
R11,48.6059,24.435,T,180
R10,70.2,25.5,T,180
R9,52.6616,32.5,T,90
R8,52.6616,36.5,T,90
R7,52.6616,34.5,T,90
R6,53.7616,36.5,T,270
R5,58.65,32.5,T,90
R4,58.65,36.5,T,90
R3,42.6333,14.847,T,90
R2,58.65,34.5,T,90
R1,59.75,36.5,T,270
Q9,33.4,4.6,T,0
Q8,38.325,32.7273,T,0
Q7,38.325,36,T,0
Q6,44.35,32.7273,T,0
Q5,44.35,36,T,0
Q4,50.3616,32.7273,T,0
Q3,50.3616,36,T,0
Q2,56.35,32.7273,T,0
Q1,56.35,36,T,0
MP3,73.8908,3.6,T,0
MP2,3.6,44.5751,T,0
MP1,11.3993,3.6,T,0
L1,58.45,18.9,T,0
J4,24.15,9.3,T,180
J3,44.5598,10,T,0
J2,65.1724,10,T,0
J1,64.7,43.6,T,180
H4,81.4,3.6,T,0
H3,81.4,50.4,T,0
H2,3.6,3.6,T,0
H1,3.6,50.4,T,0
F1,80.9,33.5,T,270
D4,39.825,38.9,T,0
D3,45.85,38.9,T,0
D2,51.8616,38.9,T,0
D1,57.85,38.9,T,0
C27,60.3,24.3,T,90
C26,62,24,T,90
C25,63.4,24,T,90
C24,66.1,20.4,T,270
C23,62,20.5,T,270
C22,63.4,20.5,T,270
C21,64.8,20.5,T,270
C20,56.1,21.6,T,0
C19,27.6,4.8,T,270
C18,28.9,4.4,T,270
C17,41.925,34,T,270
C16,70.1796,23.3359,T,0
C15,72.975,20.1019,T,180
C14,47.95,34,T,270
C13,48.6,21.25,T,0
C12,48.6,19.6,T,0
C11,48.6,23.4,T,180
C10,38.6,28.2,T,270
C9,35.1,18.4,T,0
C8,48.6,18.5,T,180
C7,44.7256,14.847,T,90
C6,46,14.5,T,90
C5,72.9552,21.4884,T,0
C4,70.1777,24.421,T,180
C3,53.9616,34,T,270
C2,59.95,34,T,270
C1,48.6,22.3,T,180
